Fish	Sex	Length	AnalFinLength	DorsalFinLength	DorsalFinHeight	BodyDepthMidBody	ln(Length)	ln(AnalFinLength)	ln(DorsalFinLength)	ln(DorsalFinHeight)	ln(BodyDepth)
15	F	31.2	5.7	5.36	5.46	8.48	3.440418095	1.740466175	1.678963975	1.69744879	2.13771045
F41	F	31.91	5.72	6.19	4.24	11.14	3.46291944	1.743968805	1.822935087	1.444563269	2.410542234
7	F	32.15	5.72	4.02	5.83	8.78	3.470412451	1.743968805	1.391281903	1.763017	2.172476408
28	F	32.58	5.32	4.6	6.07	8.52	3.483698603	1.671473303	1.526056303	1.803358605	2.142416341
17	F	32.61	6.21	4.23	6.09	9.7	3.48461899	1.826160896	1.442201993	1.806648082	2.272125886
30	F	32.99	6.06	4.04	5.69	8.67	3.496204485	1.8017098	1.396244692	1.738710248	2.159868791
F33	F	33.11	5.05	5.31	4.48	11.05	3.499835352	1.619388243	1.669591835	1.499623046	2.402430428
F39	F	33.17	5.3	5.71	3.04	9.71	3.501645853	1.667706821	1.742219024	1.111857515	2.273156282
F34	F	33.2	4.57	5.38	3.66	10.76	3.502549876	1.519513205	1.682688374	1.297463147	2.375835555
F36	F	33.28	5.93	5.31	4.16	10.66	3.504956616	1.780024213	1.669591835	1.425515074	2.366498419
29	F	33.36	6.43	5.52	6.56	10.24	3.507357577	1.860974538	1.70837786	1.880990603	2.32630162
33	F	33.4	6.28	6.1	5.89	8.71	3.5085559	1.83736998	1.808288771	1.773255998	2.164471791
F29	F	33.44	5.95	5.11	3.77	12.21	3.509752788	1.78339122	1.631199404	1.327075001	2.502255288
22	F	33.45	5.66	3.96	6.15	9.41	3.510051787	1.733423892	1.376244025	1.816452082	2.241772954
F42	F	33.93	5.35	5.97	4.73	11.18	3.524299579	1.677096561	1.786746927	1.553925203	2.414126468
F32	F	34.12	5.61	6.18	4.58	11.62	3.529883723	1.72455072	1.821318271	1.521698998	2.452727751
6	F	34.54	5.62	3.77	4.64	8.83	3.542118073	1.726331664	1.327075001	1.534714366	2.178155015
34	F	34.78	6.25	4.65	6.07	9.39	3.549042509	1.832581464	1.53686722	1.803358605	2.239645293
