"File"	"Group"	"X."	"duration"	"interval"	"disttomax"	"start.time"	"end.time"	"peak.freq.start."	"peak.ampl.start."	"min.freq.start."	"max.freq.start."	"bandw.start."	"peak.freq.end."	"peak.ampl.end."	"min.freq.end."	"max.freq.end."	"bandw.end."	"peak.freq.centre."	"peak.ampl.centre."	"min.freq.centre."	"max.freq.centre."	"bandw.centre."	"peak.freq.max."	"peak.ampl.max."	"min.freq.max."	"max.freq.max."	"bandw.max."	"Especie"
"54"	"2020-02-23 22-10-25"	2	5	8e-04	"6.88E-2"	4e-04	0.3566	0.3574	91873	-66.45	79687	139062	59375	91569	-66.1	78437	137187	58750	91870	-65.11	79687	138437	58750	91870	-65.11	79687	138437	58750	"Centurio senex"
"55"	"2020-02-23 22-11-59"	1	1	0.002	"_"	0.0012	0.2547	0.2567	118765	-59.36	79062	136250	57187	84666	-56.82	75000	109375	34375	88426	-53.24	76875	129375	52500	87196	-52.31	76250	122187	45937	"Centurio senex"
"56"	"2020-02-23 22-11-59"	1	2	0.0016	"0.1648"	8e-04	0.4195	0.4211	91249	-57.33	78125	139687	61562	90326	-57.61	76562	128750	52187	90630	-52.72	77500	136250	58750	90630	-52.72	77500	136250	58750	"Centurio senex"
"57"	"2020-02-23 22-11-59"	1	3	0.0016	"2.8799999999999999E-2"	8e-04	0.4483	0.4499	91252	-58.55	77500	140312	62812	91244	-56.71	76875	135937	59062	91248	-52.78	77187	138125	60937	91248	-52.78	77187	138125	60937	"Centurio senex"
"58"	"2020-02-23 22-12-18"	1	1	0.0016	"_"	8e-04	0.0619	0.0635	87506	-59.49	77500	126875	49375	87480	-57.57	75937	119062	43125	87491	-53.68	77187	123125	45937	87491	-53.68	77187	123125	45937	"Centurio senex"
"59"	"2020-02-23 22-12-18"	1	2	0.0012	"0.50919999999999999"	4e-04	0.5711	0.5723	85001	-58.55	75937	136250	60312	84689	-58.74	74375	130000	55625	84996	-56.25	75625	135000	59375	84996	-56.25	75625	135000	59375	"Centurio senex"
"60"	"2020-02-23 22-12-18"	1	3	8e-04	"4.5999999999999999E-2"	4e-04	0.6171	0.6179	91250	-60.15	72187	129062	56875	91247	-61.36	71875	126562	54687	91249	-59.6	71875	128125	56250	91249	-59.6	71875	128125	56250	"Centurio senex"
"61"	"2020-02-23 22-12-18"	2	1	0.0016	"_"	8e-04	0.1967	0.1983	91875	-53.18	78125	112812	34687	86872	-51.91	70312	96875	26562	88124	-48.45	72500	105937	33437	88124	-48.45	72500	105937	33437	"Centurio senex"
"62"	"2020-02-23 22-12-18"	2	2	0.002	"0.25679999999999997"	0.0012	0.4535	0.4555	89695	-56.27	74687	119375	44687	83442	-53.21	65312	95937	30625	89368	-49.15	68437	108437	40000	84992	-48.9	66875	103125	36250	"Centurio senex"
"63"	"2020-02-23 22-12-18"	2	3	4e-04	"0.67320000000000002"	0	1.1267	1.1271	81568	-56.02	68437	119062	50625	81557	-56.35	68125	117812	49687	81568	-56.02	68437	119062	50625	81568	-56.02	68437	119062	50625	"Centurio senex"
"64"	"2020-02-23 22-12-18"	2	4	0.002	"2.8000000000000001E-2"	0.0016	1.1547	1.1567	109051	-54.92	81250	119687	38437	81258	-54.81	65312	107187	41875	104994	-55.07	70937	118437	47500	81553	-53.55	66562	113437	46875	"Centurio senex"
"65"	"2020-02-23 22-12-35"	1	1	8e-04	"_"	4e-04	1.1412	1.142	90008	-57.26	79687	125312	45625	89989	-58.34	79062	116875	37812	89998	-56.64	79375	121875	42500	89998	-56.64	79375	121875	42500	"Centurio senex"
"66"	"2020-02-23 22-12-35"	1	2	8e-04	"0.14199999999999999"	4e-04	1.2832	1.284	90938	-58.62	78750	134687	55937	87822	-57.81	78125	123125	45000	90935	-57.11	78437	130312	51875	90935	-57.11	78437	130312	51875	"Centurio senex"
